,action_p,action_r,action_y,action_z,al_pitch,al_roll,al_yaw,angular_x,angular_y,angular_z,linear_acc_bodyx,linear_acc_bodyy,linear_acc_bodyz,pidz_out,pidzv_out,pos_x,pos_y,pos_z,time,velocity_x,velocity_y,velocity_z
37,0.05,0.0,0,1.0,0.04841846951640739,0.0008289082606076732,-0.00027791010613217426,-0.1129574179649353,-0.10130363702774046,0.09817536920309068,-0.6357370615005493,1.2031010389328012,6.678952217102051,0.5355252136959712,-0.025084507465362553,-0.006374381482601293,-0.00027791010613217426,1.0227243900299072,0.8364331722259521,0.019079441204667088,-0.019237235188484195,-0.010256462730467318
38,0.05,0.0,0,1.0,0.04900751461961349,0.0011055839532584989,5.847995119298716e-06,-0.04529169946908951,0.06777894496917725,0.020431056618690484,-0.5240877270698547,2.752699851989747,6.89668083190918,0.5389505174915561,-0.025441956996917727,-0.005486408714205154,5.847995119298716e-06,1.0229017734527588,0.858767032623291,0.022699167951941487,-0.015502879396080976,-0.005592511501163242
39,0.05,0.0,0,1.0,0.04900751461961349,0.0011055839532584989,5.847995119298716e-06,-0.15915405750274658,0.012618701905012141,0.09015198796987534,-0.9457719326019287,-2.4474079608917223,10.625391960144043,0.534133352292023,-0.02570265054702759,-0.005486408714205154,5.847995119298716e-06,1.0229017734527588,0.8808372020721436,0.020125754177570336,-0.029167316854000095,-0.0032922674436122153
40,0.05,0.0,0,1.0,0.04825628132752713,0.00021036732529675352,0.0007429456791987947,-0.15915405750274658,0.012618701905012141,0.09015198796987534,-0.9400071501731873,-1.7116575241088856,8.194734573364258,0.5328572697729,-0.025741042613983158,-0.004530548118054995,0.0007429456791987947,1.0230602025985718,0.9023191928863525,0.020125754177570336,-0.029167316854000095,-0.0032922674436122153
41,0.05,0.0,0,1.0,0.046827257440389215,0.00020038846793482844,0.0006533418606814628,-0.12399984896183014,-0.1072365790605545,-0.050072953104972825,-1.0029255151748657,0.5651652812957771,6.1244964599609375,0.5329272999279732,-0.02603924131393433,-0.003620853880420456,0.0006533418606814628,1.023282527923584,0.9240360260009766,0.02244054898619651,-0.026608396321535114,0.00031789485365152635
42,0.05,0.0,0,1.0,0.046827257440389215,0.00020038846793482844,0.0006533418606814628,-0.12399984896183014,-0.1072365790605545,-0.050072953104972825,-0.33112600445747375,-2.3996677398681623,12.767074584960938,0.5295869310208456,-0.026373865604400637,-0.003620853880420456,0.0006533418606814628,1.023282527923584,0.9460961818695068,0.02244054898619651,-0.026608396321535114,0.00031789485365152635
43,0.05,0.0,0,1.0,0.046756105889203016,0.0010964967371186918,0.0008326342144464238,0.038799967616796494,-0.026454456150531786,-0.15015903115272522,-0.40267306566238403,2.3522388935089125,10.996209144592285,0.5301241195403764,-0.02640029811859131,-0.0025677615776659346,0.0008326342144464238,1.0234851837158203,0.9683430194854736,0.022180555388331406,-0.025446766987442974,0.0019529339624568848
44,0.05,0.0,0,1.0,0.046412673455380804,0.002678245808185891,0.0016178869425865102,0.1483353227376938,0.10072072595357895,-0.025676710531115546,0.14277732372283936,-2.3582689762115465,12.662307739257812,0.5284000641495505,-0.026757691383361818,-0.001668031909503172,0.0016178869425865102,1.0235387086868286,0.9902071952819824,0.020640876144170754,-0.029793985188007358,0.0003687615389935698
45,0.05,0.0,0,1.0,0.046412673455380804,0.002678245808185891,0.0016178869425865102,0.1483353227376938,0.10072072595357895,-0.025676710531115546,-0.514926552772522,-3.8245151042938215,13.635969161987305,0.5299253008178735,-0.026860631942749028,-0.001668031909503172,0.0016178869425865102,1.0235387086868286,1.0122811794281006,0.020640876144170754,-0.029793985188007358,0.0003687615389935698
46,0.05,0.0,0,1.0,0.04568258050736768,0.0029469316628133475,0.0023955355548117624,-0.03249288350343704,-0.07473065704107283,0.15776753425598145,-0.5800303816795349,-0.9034578204154958,8.384214401245117,0.5296039643073438,-0.02693872928619385,-0.0007279803976417881,0.0023955355548117624,1.0235675573349,1.0345211029052734,0.019831959158182137,-0.030506294220685962,-0.008874651975929735
47,0.05,0.0,0,1.0,0.045522229419004176,0.002937845248259455,0.0023175176662614335,-0.21834158897399902,-0.024930154904723154,0.10184989869594574,-0.9265715479850769,0.738738954067231,6.741842269897461,0.5373387379245493,-0.027070502758026128,0.00019094078743351706,0.0023175176662614335,1.0234565734863281,1.0562121868133545,0.023104583844542496,-0.029212951660156253,-0.005850436165928838
48,0.05,0.0,0,1.0,0.045522229419004176,0.002937845248259455,0.0023175176662614335,-0.21834158897399902,-0.024930154904723154,0.10184989869594574,-1.0490831136703491,2.1126792430877694,8.044027328491211,0.5334262565365152,-0.027011395454406742,0.00019094078743351706,0.0023175176662614335,1.0234565734863281,1.077923059463501,0.023104583844542496,-0.029212951660156253,-0.005850436165928838
49,0.05,0.0,0,1.0,0.04493786839306035,0.003376413384721207,0.0021147008837215675,-0.2869385778903961,-0.04130373522639276,-0.116750068962574,-0.22951757907867432,3.639587402343751,6.625285148620605,0.5337374238843486,-0.027138516902923585,0.001162475906312336,0.0021147008837215675,1.0231730937957764,1.099379062652588,0.021625045686960217,-0.020745847374200824,-0.011238215491175648
50,0.05,0.0,0,1.0,0.04499544819972177,0.0047230543384417,0.002933030786704713,0.217779278755188,0.018178572878241536,-0.0226594340056181,-0.05661340057849884,1.4348567724227919,10.962807655334473,0.5385518117030129,-0.026862685680389405,0.002042572246864308,0.002933030786704713,1.0228968858718872,1.1211700439453125,0.02078928425908088,-0.02559931389987469,-0.013930305838584898
